index,epy (MWh/year),capf (%),lcoe ($/MWh),srev ($)
0,195.717986649,22.3422359189,166.572357235,9519.24940773
1,198.86777158,22.7018004086,165.134970601,9720.44680428
2,201.752639182,23.0311231943,163.957413252,9849.90606997
3,203.987370713,23.2862295334,163.331964839,10054.4355783
4,206.291636496,23.5492735726,162.665224119,10104.608357
5,208.322989517,23.7811631869,162.225458585,10154.0418682
6,209.91377519,23.9627597248,162.133760404,10215.7112452
7,211.42039676,24.1347484886,162.107949285,10333.0525866
8,212.229345541,24.2270942398,162.615325848,10395.0813603
9,213.369703914,24.3572721363,162.865490114,10446.9866507
10,214.048339818,24.4347419883,163.464844703,10400.5299809
11,214.213355705,24.4535794183,164.453778968,10371.8871567
12,214.373529849,24.471864138,165.444927365,10390.0868369
